,id,title,area,interpretability,doi
0,21,Pre-training Multi-party Dialogue Models with Latent Discourse Inference,Virtual Poster,,10.18653/v1/2023.acl-long.533
1,23,Dual-Gated Fusion with Prefix-Tuning for Multi-Modal Relation Extraction,Virtual Poster,,10.18653/v1/2023.findings-acl.572
2,25,Aerial Vision-and-Dialog Navigation,Virtual Poster,,10.18653/v1/2023.findings-acl.190
3,34,Fixing MoE Over-Fitting on Low-Resource Languages in Multilingual Machine Translation,Virtual Poster,,10.18653/v1/2023.findings-acl.897
4,35,A Survey of Deep Learning for Mathematical Reasoning,Posters,,10.18653/v1/2023.acl-long.817
5,44,Dynamic Routing Transformer Network for Multimodal Sarcasm Detection,Virtual Poster,,10.18653/v1/2023.acl-long.139
6,50,"Conjunct Lengths in English, Dependency Length Minimization, and Dependency Structure of Coordination",Virtual Poster,,10.18653/v1/2023.acl-long.864
7,51,Pivotal Role of Language Modeling in Recommender Systems: Enriching Task-specific and Task-agnostic Representation Learning,Posters,,10.18653/v1/2023.acl-long.64
8,52,AMR-TST: Abstract Meaning Representation-based Text Style Transfer,Virtual Poster,,10.18653/v1/2023.findings-acl.260
9,57,FC-KBQA: A Fine-to-Coarse Composition Framework for Knowledge Base Question Answering,Posters,,10.18653/v1/2023.acl-long.57
10,60,Operator Selection and Ordering in a Pipeline Approach to Efficiency Optimizations for Transformers,,,10.18653/v1/2023.findings-acl.180
11,63,MUSTIE: Multimodal Structural Transformer for Web Information Extraction,Posters,,10.18653/v1/2023.acl-long.135
12,64,Did the Models Understand Documents? Benchmarking Models for Language Understanding in Document-Level Relation Extraction,Posters,,10.18653/v1/2023.acl-long.354
13,67,Hybrid and Collaborative Passage Reranking,,,10.18653/v1/2023.findings-acl.880
14,68,Enhancing Event Causality Identification with Counterfactual Reasoning,Virtual Poster,,10.18653/v1/2023.acl-short.83
15,69,Word-level Prefix/Suffix Sense Detection: A Case Study on Negation Sense with Few-shot Learning,,,10.18653/v1/2023.findings-acl.484
16,76,UniSumm and SummZoo: Unified Model and Diverse Benchmark for Few-Shot Summarization,Posters,,10.18653/v1/2023.acl-long.718
17,85,Revisiting Cross-Lingual Summarization: A Corpus-based Study and A New Benchmark with Improved Annotation,Virtual Poster,,10.18653/v1/2023.acl-long.519
18,88,Extracting Shopping Interest-Related Product Types from the Web,,,10.18653/v1/2023.findings-acl.474
19,91,Reasoning with Language Model Prompting: A Survey,Posters,,10.18653/v1/2023.acl-long.294
20,98,Search-Oriented Conversational Query Editing,,,10.18653/v1/2023.findings-acl.256
21,104,Investigating Glyph-Phonetic Information for Chinese Spell Checking: What Works and What's Next?,,,
22,106,QAP: A Quantum-Inspired Adaptive-Priority-Learning Model for Multimodal Emotion Recognition,Virtual Poster,,10.18653/v1/2023.findings-acl.772
23,110,MVP: Multi-task Supervised Pre-training for Natural Language Generation,Virtual Poster,,10.18653/v1/2023.findings-acl.558
24,115,Prompts Can Play Lottery Tickets Well: Achieving Lifelong Information Extraction via Lottery Prompt Tuning,Posters,,10.18653/v1/2023.acl-long.16
